"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.303202750E0,2.215393066E-2,1.523831177E-1,9.743538208E0,9.744754908E0
2.313242750E0,3.068618774E-2,1.568737793E-1,9.745633850E0,9.746944658E0
2.323282750E0,2.709365845E-2,1.535806274E-1,9.743388519E0,9.744636520E0
2.333323750E0,2.469863892E-2,1.474433899E-1,9.750274200E0,9.751420233E0
2.343363750E0,4.236190796E-2,1.552272034E-1,9.742640076E0,9.743968681E0
2.353403750E0,2.215393066E-2,1.501377869E-1,9.743388519E0,9.744570385E0
2.363443750E0,2.649490356E-2,1.496887207E-1,9.735005951E0,9.736192765E0
2.373483750E0,2.769241333E-2,1.468446350E-1,9.748178558E0,9.749323844E0
2.383524750E0,2.484832764E-2,1.480421448E-1,9.745484161E0,9.746640214E0
2.393564750E0,3.323089600E-2,1.540296936E-1,9.745484161E0,9.746757973E0
2.403604750E0,3.622467041E-2,1.574725342E-1,9.752968597E0,9.754307063E0
2.413644750E0,2.814147949E-2,1.520837402E-1,9.745484161E0,9.746711391E0
2.423685750E0,3.457809448E-2,1.493893433E-1,9.738448792E0,9.739655933E0
2.433725750E0,3.742218018E-2,1.543290710E-1,9.754465485E0,9.755758032E0
2.443765750E0,2.844085693E-2,1.513352966E-1,9.749825134E0,9.751041042E0
2.453805750E0,2.888992310E-2,1.559756470E-1,9.744735718E0,9.746026741E0
2.463845750E0,2.948867798E-2,1.549278259E-1,9.748927002E0,9.750202557E0
2.473886750E0,3.053649902E-2,1.571731567E-1,9.743837585E0,9.745152989E0
2.483926750E0,1.945953369E-2,1.570234680E-1,9.738149414E0,9.739434740E0
2.493966750E0,3.188369751E-2,1.489402771E-1,9.748477936E0,9.749667781E0
2.504006750E0,2.664459229E-2,1.468446350E-1,9.757309570E0,9.758450867E0
2.514047750E0,3.053649902E-2,1.510359192E-1,9.744885406E0,9.746103627E0
2.524087750E0,2.739303589E-2,1.571731567E-1,9.747130737E0,9.748436356E0
2.534127750E0,2.619552612E-2,1.513352966E-1,9.737101593E0,9.738312791E0
2.544167750E0,3.263214111E-2,1.483415222E-1,9.747729492E0,9.748912776E0
2.554207750E0,3.023712158E-2,1.481918335E-1,9.747879181E0,9.749052448E0
2.564248750E0,2.484832764E-2,1.564247131E-1,9.738448792E0,9.739736700E0
2.574288750E0,3.008743286E-2,1.552272034E-1,9.745184784E0,9.746467422E0
2.584328750E0,2.499801636E-2,1.589694214E-1,9.748477936E0,9.749806062E0
2.594368750E0,2.799179077E-2,1.471440125E-1,9.742939453E0,9.744090727E0
2.604408750E0,2.260299683E-2,1.513352966E-1,9.753118286E0,9.754318509E0
2.614449750E0,2.380050659E-2,1.537303162E-1,9.740245056E0,9.741487218E0
